Triple,Anomaly Description,Correction Suggestion
Rose_Ausländer -> bornOnDate -> 1901-##-##,Missing detailed birthdate,Provide complete date.
David_Laing_(Scottish_antiquary) -> bornOnDate -> 1793-##-##,Incomplete date,Use complete date format.
Hugues_de_Payens -> bornOnDate -> 107#-##-##,Incomplete or invalid year,Use complete date format.
Adelard_of_Bath -> bornOnDate -> 108#-##-##,Incomplete or invalid year,Use complete date format.
Andronikos_IV_Palaiologos -> bornOnDate -> 1348-##-##,Incomplete date,Use complete date format.
Ken_Akamatsu -> bornOnDate -> 1968-##-##,Incomplete date,Use complete date format.
Oleksandr_Ponomaryov -> bornOnDate -> 1973-##-##,Incomplete date,Use complete date format.
William_King_(governor) -> bornOnDate -> 1768-##-##,Incomplete date,Use complete date format.
LTJ_Bukem -> bornOnDate -> 1967-##-##,Incomplete date,Use complete date format.
Karmen_Stavec -> bornOnDate -> 1973-##-##,Incomplete date,Use complete date format.
Rod_Smart -> bornOnDate -> 1977-##-##,Incomplete date,Use complete date format.
1. personality) -> actedIn -> The_Pat_Sajak_Show,Extra parenthesis,Remove extra parenthesis
Edmund_Sylvers -> bornOnDate -> 1957-##-##,Incomplete birthdate,Provide complete date.
Ishi -> bornOnDate -> 186#-##-##,Incomplete birthdate,Provide complete date.
Ricky_Williams -> bornOnDate -> 1977-##-##,Incomplete birthdate,Provide complete date.
Ward_Hill_Lamon -> bornOnDate -> 1828-##-##,Incomplete birthdate,Provide complete date.
Rużar_Briffa -> bornOnDate -> 1906-##-##,Incomplete birthdate,Provide complete date.
Philippe_de_Carteret_II -> bornOnDate -> 1584-##-##,Incomplete birthdate,Provide complete date.
Emperor_Go-Saga -> bornOnDate -> 1220-##-##,Incomplete birthdate,Provide complete date.
Moriz_Rosenthal -> bornOnDate -> 1862-##-##,Incomplete birthdate,Provide complete date.
1. Skeeter_Webb -> bornOnDate -> 1909-##-##,Incomplete date,Specify full birth date.
2. Alice_Heine -> bornOnDate -> 1858-##-##,Incomplete date,Specify full birth date.
3. Don_Cornell -> bornOnDate -> 1919-##-##,Incomplete date,Specify full birth date.
4. Gustaf_Otto_Stenbock -> bornOnDate -> 1614-##-##,Incomplete date,Specify full birth date.
5. Leleti_Khumalo -> bornOnDate -> 1970-##-##,Incomplete date,Specify full birth date.
6. Asa_Whitney -> bornOnDate -> 1797-##-##,Incomplete date,Specify full birth date.
7. Afonso_V_of_Portugal -> bornOnDate -> 1432-##-##,Incomplete date,Specify full birth date.
8. Azaria_Chamberlain_disappearance -> bornIn -> Mount_Isa,_Queensland,"Subject cannot be born, Correct subject entity."
1. Il_Sodoma -> bornOnDate -> 1477-##-##,Incomplete date format,Use complete date.
2. Valgerd_Svarstad_Haugland -> bornOnDate -> 1956-##-##,Incomplete date format,Use complete date.
3. The_Cougar_Song_(BYU) -> bornIn -> Provo,_Utah,"Invalid domain for 'bornIn', Use relevant predicate."
4. Marc-Vivien_Foé -> bornOnDate -> 1975-##-##,Incomplete date format,Use complete date.
5. Constance_of_Sicily -> bornOnDate -> 1154-##-##,Incomplete date format,Use complete date.
6. Murder_of_Samantha_Runnion -> bornIn -> Massachusetts,Invalid domain for 'bornIn',Use relevant predicate.
8. Capability_Brown -> bornOnDate -> 1716-##-##,Incomplete date format,Use complete date.
9. Gihwa -> bornOnDate -> 1376-##-##,Incomplete date format,Use complete date.
Chuck_Rosenthal_(district_attorney) -> bornIn -> Alice,_Texas,"Non-standard entity format, Use consistent entity naming."
Russell_%22Busty%22_Ashbaugh -> bornIn -> Youngstown,_Ohio,"Non-standard entity format, Use consistent entity naming."
William_J._Hardee -> bornIn -> Camden_County,_Georgia,"Non-standard entity format, Use consistent entity naming."
Beauford_T._Anderson -> bornIn -> Eagle_River,_Wisconsin,"Non-standard entity format, Use consistent entity naming."
Monomohun_Ghose -> bornIn -> Munshiganj_District,Non-standard entity format,Use consistent region naming.
Prem_Nath -> actedIn -> Roti_Kapda_Aur_Makaan,Non-standard entity format,Use consistent film naming.
Kulbhushan_Kharbanda -> actedIn -> Basti_(film),Non-standard entity format,Use consistent film naming.
Nagakura_Shinpachi -> bornOnDate -> 1839-##-##,Missing day and month,Add specific date.
Sandy_Rass -> bornOnDate -> 1974-##-##,Missing day and month,Add specific date.
Federica_Montseny -> bornOnDate -> 1905-##-##,Missing day and month,Add specific date.
Oksana_Baiul -> bornOnDate -> 1977-##-##,Missing day and month,Add specific date.
Boaz_Yakin -> bornOnDate -> 1966-##-##,Missing day and month,Add specific date.
Valeria_Messalina -> bornOnDate -> 0##-##-##,Invalid year format,Correct year format.
Ossip_Zadkine -> bornOnDate -> 1890-##-##,Missing day and month,Add specific date.
Cimabue -> bornOnDate -> 1240-##-##,Missing day and month,Add specific date.
Ebenezer_Learned -> bornOnDate -> 1728-##-##,Missing day and month,Add specific date.
Lev_Dyomin -> bornOnDate -> 1926-##-##,Missing day and month,Add specific date.
1. Ōta_Dōkan -> bornOnDate -> 1432-##-##,Date has placeholders,Use specific date if known.
2. Margaret_of_Denmark -> bornOnDate -> 1456-##-##,Date has placeholders,Use specific date if known.
3. Patricia_Highsmith -> bornOnDate -> 1921-##-##,Date has placeholders,Use specific date if known.
4. Annamacharya -> bornOnDate -> 1408-##-##,Date has placeholders,Use specific date if known.
5. Botho_zu_Eulenburg -> bornOnDate -> 1831-##-##,Date has placeholders,Use specific date if known.
6. Ray_Lewis_(American_football) -> bornOnDate -> 1975-##-##,Date has placeholders,Use specific date if known.
7. Li_Ao -> bornOnDate -> 1935-##-##,Date has placeholders,Use specific date if known.
8. Haakon_VI_of_Norway -> bornOnDate -> 1340-##-##,Date has placeholders,Use specific date if known.
9. Lü_Meng -> bornOnDate -> 178-##-##,Date has placeholders,Use specific date if known.
10. Tricycle_(spy) -> bornOnDate -> 1912-##-##,Date has placeholders,Use specific date if known.
Adam_Loftus_(Archbishop) -> bornOnDate -> 153#-##-##,Incomplete birth year,Provide full birth year.
Philomena -> bornOnDate -> 291-01-10,Invalid year format,Correct to valid date
1. Augustin_Filon -> bornOnDate -> 1841-##-##,Missing value,Fill with specific date.
2. Bram_Cohen -> bornOnDate -> 1975-##-##,Missing value,Fill with specific date.
3. Taira_no_Kiyomori -> bornOnDate -> 1118-##-##,Missing value,Fill with specific date.
4. Azai_Sukemasa -> bornOnDate -> 1491-##-##,Missing value,Fill with specific date.
5. Donatello -> bornOnDate -> 1386-##-##,Missing value,Fill with specific date.
6. Cassie_Campion -> bornOnDate -> 1972-##-##,Missing value,Fill with specific date.
7. Siegfried_Alkan -> bornOnDate -> 1858-##-##,Missing value,Fill with specific date.
8. Anthony_Blaxland_Stransham -> bornOnDate -> 1805-##-##,Missing value,Fill with specific date.
9. Gongsun_Long -> bornOnDate -> 320-##-##,Missing value,Fill with specific date.
Nivea_(singer) -> bornOnDate -> 1982-##-##,Missing day,Specify day of birth.
Neesy_O%27Haughan -> bornOnDate -> 1691-##-##,Missing month/day,Specify full birth date.
Kit_Bond -> bornOnDate -> 1939-##-##,Missing month/day,Specify full birth date.
Kunisada -> bornOnDate -> 1786-##-##,Missing month/day,Specify full birth date.
Arne_Beurling -> bornOnDate -> 1905-##-##,Missing month/day,Specify full birth date.
Chaminda_Vaas -> bornOnDate -> 1974-##-##,Missing month/day,Specify full birth date.
Russ_Chauvenet -> bornOnDate -> 1920-##-##,Missing month/day,Specify full birth date.
Tatiana_Grigorieva -> bornOnDate -> 1975-##-##,Missing month/day,Specify full birth date.
Yazdegerd_I -> bornOnDate -> 3##-##-##,Incomplete year,Specify full birth year.
Muretus -> bornOnDate -> 1526-##-##,Missing month/day,Specify full birth date.
John_Harvard_(clergyman) -> bornOnDate -> 1607-##-##,Missing month/day,Specify full birth date.
Herod_the_Great -> bornOnDate -> 74-##-##,Invalid year format,Specify full date.
John_Cena -> bornOnDate -> 1977-##-##,Missing month and day,Specify full date.
Genichi_Kawakami -> bornOnDate -> 1912-##-##,Missing month and day,Specify full date.
Andrzej_Pilipiuk -> bornOnDate -> 1974-##-##,Missing month and day,Specify full date.
Arthur_Tappan -> bornOnDate -> 1786-##-##,Missing month and day,Specify full date.
Chip_Caray -> bornOnDate -> 1965-##-##,Missing month and day,Specify full date.
Lonnie_Frisbee -> bornOnDate -> 1949-##-##,Missing month and day,Specify full date.
Greg_Curnoe -> bornOnDate -> 1936-##-##,Missing month and day,Specify full date.
Vivien_Leigh -> actedIn -> Dark_Journey_(film),Film title's release format inconsistent,Standardize film titles.
Meryl_Streep -> actedIn -> Dark_Matter_(film),Film title's release format inconsistent,Standardize film titles.
May_Whitty -> actedIn -> Mrs._Miniver_(film),Film title's release format inconsistent,Standardize film titles.
Pier_Luigi_Nervi -> bornIn -> Sondrio,Missing country in birthplace,Add country information.
Walid_Smichet -> bornIn -> Tunisia,Missing city in birthplace,Add city information.
Ittoku_Kishibe -> actedIn -> Get_Up%21,Special character in film title,Correct format to 'Get_Up!'.
Tostig_Godwinson -> bornOnDate -> 102#-##-##,Invalid date format,Correct format
Pribislav_(Hevelli_prince) -> bornOnDate -> 107#-##-##,Invalid date format,Correct format
Cho_Hunhyun -> bornOnDate -> 1953-##-##,Partially complete date,Use complete date.
Mark_Catesby -> bornOnDate -> 1683-##-##,Partially complete date,Use complete date.
Guram_Mchedlidze -> bornOnDate -> 1931-##-##,Partially complete date,Use complete date.
Basil_II -> bornOnDate -> 958-##-##,Partially complete date,Use complete date.
Emma_Härdelin -> bornOnDate -> 1975-##-##,Partially complete date,Use complete date.
Feargus_O%27Connor -> bornOnDate -> 1794-##-##,Partially complete date,Use complete date.
Aben_Humeya -> bornOnDate -> 1520-##-##,Partially complete date,Use complete date.
Emily_Stowe -> bornOnDate -> 1831-##-##,Partially complete date,Use complete date.
Barrington_J._Bayley -> bornOnDate -> 1937-##-##,Partially complete date,Use complete date.
Queen%27s_Gambit -> bornOnDate -> 1497-##-##,Partially complete date,Use complete date.
1. Mary_Devenport_O%27Neill -> bornOnDate -> 1879-##-##,Incomplete date,Specify full birthdate.
2. Władysław_III_of_Poland -> bornOnDate -> 1424-##-##,Incomplete date,Specify full birthdate.
3. Ryoju_Kikuchi -> bornOnDate -> 190#-##-##,Incomplete decade,Specify full birthdate.
4. Danny_Murphy_(footballer_born_1977) -> bornOnDate -> 1977-##-##,Incomplete date,Specify full birthdate.
5. Cuitláhuac -> bornOnDate -> 147#-##-##,Incomplete date,Specify full birthdate.
6. Empress_Suiko -> bornOnDate -> 554-##-##,Incomplete date,Specify full birthdate.
7. Weegee -> bornOnDate -> 1899-##-##,Incomplete date,Specify full birthdate.
8. Korey_Stringer -> bornOnDate -> 1974-##-##,Incomplete date,Specify full birthdate.
9. Eavan_Boland -> bornOnDate -> 1944-##-##,Incomplete date,Specify full birthdate.
La_Argentina -> bornOnDate -> 1890-##-##,Incomplete date,Specify complete date.
Jake_Delhomme -> bornOnDate -> 1975-##-##,Incomplete date,Specify complete date.
Saint_Rosalia -> bornOnDate -> 1130-##-##,Incomplete date,Specify complete date.
Allan_Nevins -> bornOnDate -> 1890-##-##,Incomplete date,Specify complete date.
Lauch_Faircloth -> bornOnDate -> 1928-##-##,Incomplete date,Specify complete date.
Date_Masamune -> bornOnDate -> 1567-##-##,Incomplete date specification,Use full birthdate if available
Kerim_Tekin -> bornOnDate -> 1975-##-##,Incomplete date specification,Use full birthdate if available
Jamie_Salé -> bornOnDate -> 1977-##-##,Incomplete date specification,Use full birthdate if available
Kazusa_Murai -> bornOnDate -> 1975-##-##,Incomplete date specification,Use full birthdate if available
Takeda_Shingen -> bornOnDate -> 1521-##-##,Incomplete date specification,Use full birthdate if available
Traian_Vuia -> bornOnDate -> 1872-##-##,Incomplete date specification,Use full birthdate if available
Bohumil_Hrabal -> bornOnDate -> 1914-##-##,Incomplete date specification,Use full birthdate if available
KK_Null -> bornOnDate -> 1961-##-##,Incomplete date specification,Use full birthdate if available
- Adventist_Mission -> bornIn -> Poland,_Maine,"Organizational entities don't have birthplaces, Remove triple."
- Ottawa -> bornIn -> Carl_Greenhous,Incorrect subject-object relationship,Remove triple.
- Napoleon_(2007_film) -> actedIn -> Rob_Brydon,Film cannot act,Switch subject and object.
- Rathnure -> bornIn -> Martin_Quigley,Location cannot be born,Switch subject and object.
- Argentina -> bornIn -> Eduardo_Menem,Country cannot be born,Switch subject and object.
1. Congo_Bill_(serial) -> actedIn -> Nelson_Leigh,Position mismatch for 'actedIn' relation,Suggest 'actedIn' involves roles/actors not projects.
2. The_Caretakers -> actedIn -> Joan_Crawford,Position mismatch for 'actedIn' relation,Suggest 'actedIn' involves roles/actors not projects.
3. Chand_Aur_Suraj -> actedIn -> Ashok_Kumar,Position mismatch for 'actedIn' relation,Suggest 'actedIn' involves roles/actors not projects.
4. Diary_of_June -> actedIn -> Yunjin_Kim,Position mismatch for 'actedIn' relation,Suggest 'actedIn' involves roles/actors not projects.
5. His_Wedding_Night -> actedIn -> Buster_Keaton,Position mismatch for 'actedIn' relation,Suggest 'actedIn' involves roles/actors not projects.
6. My_Best_Friend%27s_Girl_(2008_film) -> actedIn -> Dane_Cook,Position mismatch for 'actedIn' relation,Suggest 'actedIn' involves roles/actors not projects.
7. Wife_vs._Secretary -> actedIn -> James_Stewart_(actor),Position mismatch for 'actedIn' relation,Suggest 'actedIn' involves roles/actors not projects.
3_Godfathers -> actedIn -> Pedro_Armendáriz,"""actedIn"" implies film or show",should be film/show name.
The_Biggest_Loser_Australia_(Season_1) -> actedIn -> Jillian_Michaels_(personal_trainer),"""actedIn"" implies film/show",reality show context.
Grand_Star -> actedIn -> James_W._Gerard,"""actedIn"" implies film or show",should be film/show name.
France -> bornIn -> Roger_Amidon,"""bornIn"" implies location",France is too broad.
1793-##-## -> bornOnDate -> Henry_Schoolcraft,Incomplete date format,provide complete date.
12##-##-## -> bornOnDate -> Amadeus_V,_Count_of_Savoy,"Incomplete date format, provide complete date."
11##-##-## -> bornOnDate -> Alfred_of_Sareshel,Incomplete date format,provide complete date.
1949-##-## -> bornOnDate -> Mike_Watson,Year without complete date,Provide complete birthdate
1931-##-## -> bornOnDate -> Harold_McNair,Year without complete date,Provide complete birthdate
Hosni_Mubarak -> actedIn -> Naya_Sansar_(1941_film),Non-actor acting in film,Verify and correct entity type
1955-##-## -> bornOnDate -> Claudia_Roth,Year without complete date,Provide complete birthdate
1925-##-## -> bornOnDate -> Essie_Mae_Washington-Williams,Year without complete date,Provide complete birthdate
1950-##-## -> bornOnDate -> Fernando_Pereira,Year without complete date,Provide complete birthdate
Easy_Money_(1948_film) -> actedIn -> Mervyn_Johns,Inconsistent format for titles,Use consistent title formatting.
Something%27s_Got_to_Give -> actedIn -> Phil_Silvers,Inconsistent format for titles,Use consistent title formatting.
The_Bugle_Sounds -> actedIn -> Lewis_Stone,Inconsistent format for titles,Use consistent title formatting.
Spring_Break_%2783 -> actedIn -> Jamie_Kennedy,Inconsistent format for titles,Use consistent title formatting.
L%27Adversaire -> actedIn -> Daniel_Auteuil,Inconsistent format for titles,Use consistent title formatting.
Oasis_(film) -> actedIn -> Moon_So-ri,Inconsistent format for titles,Use consistent title formatting.
The_Lakes_(TV_series) -> actedIn -> Charles_Dale,Inconsistent format for titles,Use consistent title formatting.
The_Lakes_(TV_series) -> actedIn -> Kevin_Doyle,Inconsistent format for titles,Use consistent title formatting.
Pengabdi_Setan -> actedIn -> Michelle_Pfeiffer,Unlikely casting,Verify film involvement.
1. 1955-##-## -> bornOnDate -> Joe_Charboneau,Missing date details,Use complete date or mark unknown.
2. 1968-##-## -> bornOnDate -> Francesca_Gregorini,Missing date details,Use complete date or mark unknown.
3. 1662-##-## -> bornOnDate -> Matthew_Henry,Missing date details,Use complete date or mark unknown.
4. 1897-##-## -> bornOnDate -> Eduard_Haas,Missing date details,Use complete date or mark unknown.
5. 1942-##-## -> bornOnDate -> Robert_L._Stewart,Missing date details,Use complete date or mark unknown.
1. 1967-##-## -> bornOnDate -> Lorna_Fitzsimons,Incomplete date,Use full valid date.
2. 1877-##-## -> bornOnDate -> Theodore_G._Bilbo,Incomplete date,Use full valid date.
3. 1920-##-## -> bornOnDate -> Dalton_Camp,Incomplete date,Use full valid date.
4. 2000-##-## -> bornOnDate -> Starcraft_(horse),Incomplete date,Use full valid date.
5. 3##-##-## -> bornOnDate -> Roxana,Incomplete date,Use full valid date.
1. 560-##-## -> bornOnDate -> Phocylides,Incomplete date,Use complete historical birth date.
2. 1954-##-## -> bornOnDate -> Rachel_Squire,Incomplete date,Use complete birth date.
3. 1968-##-## -> bornOnDate -> Siôn_Simon,Incomplete date,Use complete birth date.
4. 1965-##-## -> bornOnDate -> Stéphane_Bergeron,Incomplete date,Use complete birth date.
5. 1961-##-## -> bornOnDate -> Carlos_Valderrama_(footballer),Incomplete date,Use complete birth date.
6. 1967-##-## -> bornOnDate -> Denis_Villeneuve,Incomplete date,Use complete birth date.
7. Witchcraft_(1988_film) -> actedIn -> Mary_Shelley,Incorrect person,Correct to relevant actor.
1. Al_Bahah_Province -> bornIn -> Hamza_al-Ghamdi,Unclear birthplace specificity,Use town or city name.
2. Russia -> bornIn -> Fanny_Kaplan,Country level too broad for birth location,Specify city or town.
3. Bahrain -> bornIn -> Mamta_Mohandas,Country level too broad for birth location,Specify city or town.
4. Gunma_Prefecture -> bornIn -> Nobuzo_Tohmatsu,Prefecture too broad for birth location,Specify city.
5. Wexford -> bornIn -> Billy_Roche,Wexford may refer to multiple places,Specify full location.
6. An_Inconvenient_Truth -> actedIn -> Al_Gore,Al Gore not an actor in documentary,Use narratesIn or featuresIn.
7. Paris_(2008_film) -> actedIn -> Maurice_Bénichou,Incorrect film or actor information,Verify film role.
1958-##-## -> bornOnDate -> Anne_Moffat,Incomplete date information,Complete date field.
1813-##-## -> bornOnDate -> Georges_Darboy,Incomplete date information,Complete date field.
Hi_Hi_PUFFY_Bu -> actedIn -> Yumi_Yoshimura,Incomplete title,Correct title to full name
1. 1819-##-## -> bornOnDate -> Bernard_Quaritch,Incomplete date used,Use full valid date
2. 1892-##-## -> bornOnDate -> Marija_Petković,Incomplete date used,Use full valid date
3. 1896-##-## -> bornOnDate -> Teinosuke_Kinugasa,Incomplete date used,Use full valid date
4. 1957-##-## -> bornOnDate -> Joan_Benoit,Incomplete date used,Use full valid date
1934-##-## -> bornOnDate -> Charles_Manson,Incomplete date format,Use complete date or replace ##
1887-##-## -> bornOnDate -> Ernest_Gruening,Incomplete date format,Use complete date or replace ##
1811-##-## -> bornOnDate -> Louis_Blanc,Incomplete date format,Use complete date or replace ##
1696-##-## -> bornOnDate -> John_Manners,_3rd_Duke_of_Rutland,"Incomplete date format, Use complete date or replace ##"
1. 1885-##-## -> bornOnDate -> Giacomo_Matteotti,Missing day and month,Provide complete date.
2. 1848-##-## -> bornOnDate -> Grant_Allen,Missing day and month,Provide complete date.
3. 1880-##-## -> bornOnDate -> Christabel_Pankhurst,Missing day and month,Provide complete date.
4. 1940-##-## -> bornOnDate -> Ted_Rowlands,_Baron_Rowlands,"Missing day and month, Provide complete date."
5. 1730-##-## -> bornOnDate -> Johann_Georg_Hamann,Missing day and month,Provide complete date.
6. 520-##-## -> bornOnDate -> Parmenides,Missing day and month,Provide complete date.
7. 1960-##-## -> bornOnDate -> Ruben_DJ,Missing day and month,Provide complete date.
FC_Zulu -> actedIn -> Mark_Strudal,Football club not a film,Change object to a player.
The_Janice_Dickinson_Modeling_Agency_episodes_(Season_1) -> actedIn -> Janice_Dickinson,TV show not a film,Change predicate to 'appearedIn'.
1. 1965-03-15 -> bornOnDate -> Michael_Watson,Why it's anomaly: Invalid date format,Suggestion: Use valid yyyy-mm-dd format.
2. 1933-##-## -> bornOnDate -> Frank_Bough,Why it's anomaly: Incomplete date,Suggestion: Provide full valid date.
3. 1927-##-## -> bornOnDate -> David_Weiss_Halivni,Why it's anomaly: Incomplete date,Suggestion: Provide full valid date.
4. 1958-##-## -> bornOnDate -> Miya_Masaoka,Why it's anomaly: Incomplete date,Suggestion: Provide full valid date.
5. 309-##-## -> bornOnDate -> Ptolemy_II_Philadelphus,Why it's anomaly: Year format issue,Suggestion: Use 4-digit year or remove century.
6. 1870-##-## -> bornOnDate -> Louis_Vierne,Why it's anomaly: Incomplete date,Suggestion: Provide full valid date.
7. 1730-##-## -> bornOnDate -> Charles_Messier,Why it's anomaly: Incomplete date,Suggestion: Provide full valid date.
1. California -> bornIn -> Harold_C._Bradley,"""State as place of birth""","""Specify a city in California"""
2. A_Time_to_Kill_(film) -> actedIn -> Kevin_Spacey,"""Present-day issues with actor""","""Consider removing due to controversies"""
3. The_Johnny_Carson_Show -> actedIn -> Johnny_Carson,"""Actor listed as part of their own show""","""Change to 'hostedBy' relation"""
4. The_Weak-End_Party -> actedIn -> Stan_Laurel,"""Actor's main involvement not acting""","""Use 'featuredIn' or similar"""
5. Sale_of_the_Century_(US_game_show) -> actedIn -> Jim_Perry_(television_personality),"""Host listed as actor""","""Change to 'hostedBy'"""
1. Thurlstone -> bornIn -> Nicholas_Saunderson,Entity used instead of location,Use a location for Thurlstone.
3. Crime_of_Passion_(1957_film) -> actedIn -> Raymond_Burr,Incorrect predicate relationship,Use 'starredIn' for films.
4. HHey_Gujju -> actedIn -> Himesh_Reshammiya,Incorrect predicate relationship,Use 'starredIn' for films.
5. To_Grow_with_Love -> actedIn -> Selena_Li,Incorrect predicate relationship,Use 'starredIn' for films.
6. A_Kiss_Before_Dying_(1956_film) -> actedIn -> Mary_Astor,Incorrect predicate relationship,Use 'starredIn' for films.
7. Mister_Lonely -> actedIn -> Denis_Lavant,Incorrect predicate relationship,Use 'starredIn' for films.
8. Thunderbolt_(1929_film) -> actedIn -> Eugenie_Besserer,Incorrect predicate relationship,Use 'starredIn' for films.
London -> bornIn -> Thomas_Spurgeon,Location should not be born,Change predicate to 'birthPlace'.
London -> bornIn -> Alexander_William_Williamson,Location should not be born,Change predicate to 'birthPlace'.
Access_Hollywood -> bornIn -> Nancy_O%27Dell,Media entity should not be born,Change predicate to 'hostedBy'.
Shalimar_(film) -> bornIn -> Aruna_Irani,Film should not be born,Change predicate to 'actedIn'.
- Bloody_Beach -> bornIn -> Jae_Hee,Invalid predicate 'bornIn',Correct to 'actedIn'
- Galicia_(Central_Europe) -> actedIn -> Edward_Rydz-Śmigły,Invalid role 'actedIn',Change to geographic relation
- Hearts_Divided -> bornIn -> Dick_Powell,Invalid predicate 'bornIn',Correct to 'actedIn'
- 1942-12-26 -> bornIn -> Gray_Davis,Incorrect predicate 'bornIn',Correct to 'bornOnDate'
- 1700-05-26 -> actedIn -> Nicolaus_Ludwig_Zinzendorf,Invalid role for date,Change to 'bornOnDate'
- Rope_(film) -> bornIn -> Constance_Collier,Invalid predicate 'bornIn',Correct to 'actedIn'
- Toronto -> bornOnDate -> Glen_Featherstone,Invalid predicate 'bornOnDate',Correct to 'bornIn'
- 1932-04-12 -> bornOnDate -> Tiny_Tim_(musician),Incorrect as context item,Context check or remove
- Final_Destination_2 -> bornOnDate -> David_Paetkau,Invalid predicate 'bornOnDate',Correct to 'actedIn'
- The_Curtain_Pole -> bornIn -> Mack_Sennett,Invalid predicate 'bornIn',Correct to 'actedIn'
- Pennsylvania -> actedIn -> Cole_Palen,Invalid predicate 'actedIn',Correct to geographic relation
- The_Jade_Box -> actedIn -> Francis_Ford_(actor),Actor role valid for context,Verify context or remove
- Tehran -> bornOnDate -> Mohammed_Mosaddeq,Invalid predicate 'bornOnDate',Correct to 'birthPlace'
- Blue_Streak_(film) -> bornOnDate -> Martin_Lawrence,Invalid predicate 'bornOnDate',Correct to 'actedIn'
1. The_Train_Robbers -> bornIn -> Ann-Margret,Why it's anomaly (max 10 words): Films don't have birthplace,"Suggestion: Use ""actedIn"" or similar instead."
2. Bhavnagar -> bornIn -> Rajendrasinh_Ghanshyamsinh_Rana,"Why it's anomaly (max 10 words): Cities don't ""bornIn""","Suggestion: Correct property to ""birthplaceOf""."
3. Don%27t_Lose_Your_Head -> bornIn -> Peter_Gilmore,Why it's anomaly (max 10 words): Films don't have birthplace,"Suggestion: Use ""actedIn"" or similar instead."
4. Lon_of_Lone_Mountain -> bornIn -> Lon_Chaney,_Sr.,"Why it's anomaly (max 10 words): Films don't have birthplace, Suggestion: Use ""actedIn"" or similar instead."
5. The_Master_of_Ballantrae_(film) -> bornIn -> Anthony_Steel,Why it's anomaly (max 10 words): Films don't have birthplace,"Suggestion: Use ""actedIn"" or similar instead."
6. Los_amores_de_Laurita -> bornIn -> Alberto_Fernández_de_Rosa,Why it's anomaly (max 10 words): Films don't have birthplace,"Suggestion: Use ""actedIn"" or similar instead."
7. Carmarthenshire -> actedIn -> Timothy_Richard,Why it's anomaly (max 10 words): Counties don't act,"Suggestion: Correct property to ""birthplaceOf"" or similar."
8. La_Luna_(film) -> bornIn -> Alida_Valli,Why it's anomaly (max 10 words): Films don't have birthplace,"Suggestion: Use ""actedIn"" or similar instead."
9. Forbidden_Paradise -> bornIn -> Pauline_Starke,Why it's anomaly (max 10 words): Films don't have birthplace,"Suggestion: Use ""actedIn"" or similar instead."
10. Imagine_Me_%26_You -> bornIn -> Anthony_Head,Why it's anomaly (max 10 words): Films don't have birthplace,"Suggestion: Use ""actedIn"" or similar instead."
11. Once_Upon_a_Time_in_Triad_Society -> bornIn -> Loletta_Lee,Why it's anomaly (max 10 words): Films don't have birthplace,"Suggestion: Use ""actedIn"" or similar instead."
12. Nottingham -> bornIn -> Daniel_Birch,"Why it's anomaly (max 10 words): Cities don't ""bornIn""","Suggestion: Correct property to ""birthplaceOf""."
2. Aberdeen -> actedIn -> Robert_Clark_(biologist),Biologist is not an actor,No valid triple suggestion.
3. Get_the_Picture_(game_show) -> bornOnDate -> Mike_O%27Malley,Game show is not a birthdate,No valid triple suggestion.
4. Money_No_Enough -> bornIn -> Jack_Neo,Movie is not a birthplace,No valid triple suggestion.
5. 1876-11-19 -> actedIn -> Frank_Evans,Date cannot act,No valid triple suggestion.
6. Turku -> bornOnDate -> Tomi_Kallio,Location cannot be a date,Change 'bornOnDate' to 'bornIn'.
7. Little_Chenier -> bornIn -> Tamara_Braun,Movie is not a birthplace,No valid triple suggestion.
8. Kikwit -> actedIn -> Luc_Jouret,Location cannot act,Change 'actedIn' to 'bornIn'.
9. Never_Better -> bornIn -> Stephen_Mangan,TV series is not a birthplace,No valid triple suggestion.
10. Schindler%27s_List -> bornOnDate -> Embeth_Davidtz,Movie is not a birthdate,No valid triple suggestion.
`Wreaths_at_the_Foot_of_the_Mountain -> actedIn -> Siqin_Gaowa,Incorrect predicate for a person,Change to 'hasCastMember'`
`Un_Crisantemo_Estalla_en_Cinco_Esquinas -> bornOnDate -> José_Luis_Alfonzo,Incorrect predicate for a date,Change to 'releaseDate'`
`1845-##-## -> actedIn -> Alexander_III_of_Russia,Date cannot be an entity,Correct entity to event or work`
`1958-##-## -> actedIn -> Alejandro_González_Malavé,Date cannot be an entity,Correct entity to event or work`
`ChalkZone -> bornIn -> Rob_Paulsen,Animated series cannot have birth,Use 'creator' or 'voiceOverArtist'`
`Wet_Hot_American_Summer -> bornIn -> Amy_Poehler,Film cannot have birth,Use 'hasCastMember' or 'creator'`
`Canada_Tonight -> bornOnDate -> Tony_Parsons_(Canadian_journalist),Incorrect predicate for a title,Change to 'hostedBy' or 'airedOnDate'`
`Brooklyn -> actedIn -> Wendell_Alexis,Location cannot act,Change to 'bornIn' or 'associatedWith'`
`Philippines -> bornOnDate -> Bernardo_P._Pardo,Incorrect predicate for a location,Change to 'bornIn'`
`Between_the_Lions -> bornOnDate -> Bertice_Berry,TV show cannot have birth date,Use 'airedOnDate' or 'featuredGuest'`
`Valparaíso -> actedIn -> Eduardo_Cruz-Coke,Location in role,Change predicate to bornIn`
